Origin,Destination,Cabin,Booking Class,Booking Class Fare USD,Airline,Flight number,Dep_Date,Dep_time,overbooking,no_show,denied_boarding,cancellation
BBB,DDD,Y,T,136.38,AA,306,2023-10-02, 06:05,0.20027058246659188,0.11387304429821347,0.004005411649331838,0.08731824366482041
BBB,DDD,Y,N,209.1,AA,306,2023-10-02, 06:05,0.12987187821152837,0.07324045997292429,0.0025974375642305674,0.057228479227941075
BBB,DDD,Y,L,327.29,AA,306,2023-10-02, 06:05,0.13610687043026642,0.08106629591622673,0.0027221374086053287,0.055666299681287223
BBB,DDD,Y,Q,154.56,AA,306,2023-10-02, 06:05,0.17824672493333724,0.11208659932085026,0.0035649344986667447,0.06697958065849344
BBB,DDD,Y,E,245.47,AA,306,2023-10-02, 06:05,0.11255929335101478,0.07351097122206723,0.0022511858670202956,0.0395657918381156
BBB,DDD,Y,R,281.83,AA,306,2023-10-02, 06:05,0.11453662183768856,0.07333372970330462,0.0022907324367537714,0.04172945223108434
BBB,DDD,Y,V,190.92,AA,306,2023-10-02, 06:05,0.2221286087672255,0.12238690240582821,0.00444257217534451,0.10076289993106752
BBB,DDD,J,C,572.74,AA,306,2023-10-02, 06:05,0.1190315319068401,0.06911752767390346,0.002380630638136802,0.050461228814434114
BBB,DDD,Y,E,263.65,AA,306,2023-10-03, 06:05,0.1317359213334201,0.09394383866074987,0.0026347184266684023,0.0383977132418566
BBB,DDD,Y,K,400.01,AA,306,2023-10-03, 06:05,0.10826132785457908,0.061856996399784044,0.0021652265570915818,0.046902042093972134
BBB,DDD,Y,Q,154.56,AA,306,2023-10-03, 06:05,0.16108486807589759,0.08673434717775699,0.003221697361517952,0.0750910776069915
BBB,DDD,Y,N,218.2,AA,306,2023-11-03, 06:05,0.1451999358455209,0.07757109141330068,0.0029039987169104183,0.06829637321937145
BBB,DDD,Y,T,136.38,AA,306,2023-11-03, 06:05,0.2234931601498956,0.13357377338303808,0.004469863202997912,0.0909468535991444
BBB,DDD,Y,R,290.92,AA,306,2023-11-03, 06:05,0.1279288143503422,0.07810052629962123,0.002558576287006844,0.05041641617755313
BBB,DDD,Y,E,263.65,AA,306,2023-11-03, 06:05,0.13046862960713665,0.08059408852567188,0.002609372592142733,0.050474345520604424
BBB,DDD,Y,V,190.92,AA,306,2023-11-03, 06:05,0.23232515993156963,0.13937513666604706,0.004646503198631392,0.09401809351865843
BBB,DDD,Y,I,109.1,AA,306,2023-11-03, 06:05,0.14058106543421817,0.08918380335504908,0.0028116213086843635,0.052043556497684336
BBB,DDD,J,J,836.38,AA,306,2023-11-03, 06:05,0.04182049393113492,0.028456232062283534,0.0008364098786226984,0.013556523548785024
BBB,DDD,Y,P,172.74,AA,306,2023-10-05, 06:05,0.1308596378386223,0.08885583446936358,0.0026171927567724463,0.042605405393562654
BBB,DDD,J,J,836.38,AA,306,2023-10-05, 06:05,0.043931648171425496,0.025425995513866456,0.0008786329634285099,0.018707619963196327
BBB,DDD,Y,T,136.38,AA,306,2023-10-05, 06:05,0.19546467860441719,0.10533328942184159,0.003909293572088344,0.09103000046005254
BBB,DDD,Y,O,245.47,AA,306,2023-11-05, 06:05,0.12824226688753174,0.0850097389992753,0.002564845337750635,0.043822097052860165
BBB,DDD,Y,R,290.92,AA,306,2023-11-05, 06:05,0.15582435342126782,0.10382535205552249,0.0031164870684253568,0.05271537386992185
BBB,DDD,Y,L,336.38,AA,306,2023-11-05, 06:05,0.1320280355902377,0.0793601047127155,0.002640560711804754,0.053274904385838893
BBB,DDD,Y,N,218.2,AA,306,2023-11-05, 06:05,0.15483112261866255,0.10573146999583632,0.003096622452373251,0.04981145893935834
BBB,DDD,Y,Z,,AA,306,2023-11-05, 06:05,0.1429912026150264,0.10530673758961032,0.002859824052300528,0.038341839586217924
BBB,DDD,Y,Q,156.38,AA,306,2023-10-06, 06:05,0.17254942508948856,0.09798739087381245,0.0034509885017897715,0.0753552970210824
BBB,DDD,Y,B,652.74,AA,306,2023-10-06, 06:05,0.0868386191958804,0.05605947290770473,0.0017367723839176081,0.03117837014328389
BBB,DDD,Y,V,193.65,AA,306,2023-12-06, 06:05,0.1863564331756863,0.1103583445163815,0.003727128663513726,0.07685482652968473
BBB,DDD,Y,P,175.47,AA,306,2023-12-06, 06:05,0.12451577200696452,0.08124522399588857,0.0024903154401392904,0.04384298533196732
BBB,DDD,Y,Q,156.38,AA,306,2023-12-06, 06:05,0.13392441567704844,0.07698531527379238,0.002678488313540969,0.057554792154400854
BBB,DDD,Y,X,,AA,306,2023-12-06, 06:05,0.10713284942969675,0.0677486327017047,0.002142656988593935,0.03987673940458571
BBB,DDD,Y,K,404.56,AA,306,2023-12-06, 06:05,0.10954572214399123,0.07377723691571443,0.002190914442879825,0.03627210062324627
